Sampling	POC_PON	ND	HRT	RA	CL	IS	HAI	RPOC	RPON	DSUP	DSDW
80	7.82034598	8	4.24852577	5	23.19493343	0.27526278	0.205004508	1.27764729	-8.148279455	15	142
81	9.32893434	8	4.24852577	5	27.69271531	0.295906981	0.185315414	1.27764729	-8.148279455	10	147
82	7.847751514	8	4.24852577	5	37.80259925	0.490782386	0.435701807	1.27764729	-8.148279455	2	155
83	7.556924533	7	31.61643948	4	40.5861754	0.09044344	0.137963423	-20.20136129	-8.858935557	21	621.68
84	6.180982615	7	31.61643948	4	37.58776355	0.069038957	0.025314291	-20.20136129	-8.858935557	11	631.68
85	7.061732349	7	31.61643948	4	41.83240645	0.422894381	1.039457456	-20.20136129	-8.858935557	4	638.68
86	8.344309186	8	7.160352508	5	43.43983104	0.916495129	2.631035666	15.88935542	10.40532887	152	5
87	8.332171283	8	7.160352508	5	42.95719299	0.932442503	2.816571231	15.88935542	10.40532887	143	14
88	8.603158604	8	7.289030761	5	32.47765156	0.912407364	1.655541116	15.88935542	10.40532887	124	33
89	8.927009721	8	12.01186679	5	24.90962405	0.242658467	0.164698871	15.88935542	10.40532887	102	55
90	9.094918034	8	12.01186679	5	26.16443033	0.40913966	0.235961616	15.88935542	10.40532887	59	98
91	7.701117885	8	13.22399608	5	27.26149456	0.640472839	0.542698206	15.88935542	10.40532887	34	123
92	7.744726828	8	13.22399608	5	25.52357271	0.632962184	0.573325494	15.88935542	10.40532887	28	129
93	7.112712585	8	13.22399608	5	23.19493343	0.27526278	0.205004508	15.88935542	10.40532887	15	142
94	7.377198167	8	13.22399608	5	27.69271531	0.295906981	0.185315414	15.88935542	10.40532887	10	147
95	6.875370224	8	13.22399608	5	37.80259925	0.490782386	0.435701807	15.88935542	10.40532887	2	155
96	5.884260843	7	40.56237995	5	40.5861754	0.09044344	0.137963423	-137.178107	-176.0174061	21	621.68
97	7.211492608	7	40.56237995	5	37.58776355	0.069038957	0.025314291	-137.178107	-176.0174061	11	631.68
98	6.273630935	7	40.56237995	5	41.83240645	0.422894381	1.039457456	-137.178107	-176.0174061	4	638.68
99	5.603003278	8	10.75691245	6	43.43983104	0.916495129	2.631035666	38.19682911	60.57134029	152	5
100	7.238695914	8	10.75691245	6	42.95719299	0.932442503	2.816571231	38.19682911	60.57134029	143	14
101	7.580284629	8	10.75691245	6	32.47765156	0.912407364	1.655541116	38.19682911	60.57134029	124	33
102	10.17941373	8	12.01186679	6	24.90962405	0.242658467	0.164698871	38.19682911	60.57134029	102	55
103	7.383008242	8	12.01186679	6	26.16443033	0.40913966	0.235961616	38.19682911	60.57134029	59	98
104	6.08848419	8	13.22399608	6	27.26149456	0.640472839	0.542698206	38.19682911	60.57134029	34	123
105	7.744610686	8	13.22399608	6	25.52357271	0.632962184	0.573325494	38.19682911	60.57134029	28	129
106	8.929497251	8	13.22399608	6	23.19493343	0.27526278	0.205004508	38.19682911	60.57134029	15	142
107	6.861657589	8	13.22399608	6	27.69271531	0.295906981	0.185315414	38.19682911	60.57134029	10	147
108	8.244123767	8	13.22399608	6	37.80259925	0.490782386	0.435701807	38.19682911	60.57134029	2	155
109	4.248716978	7	17.40127415	5	37.32910259	0.077702354	0.086531234	-16.24023595	-85.36121661	11	631.68
110	4.656916172	7	17.40127415	5	41.27646511	0.439338992	1.076453841	-16.24023595	-85.36121661	4	638.68
111	2.664375391	8	9.60900636	6	23.67495532	0.25081237	0.169402677	-1.127613486	54.02031394	102	55
112	2.746093108	8	9.60900636	6	24.85447009	0.444550876	0.246859472	-1.127613486	54.02031394	59	98
113	3.563384177	8	13.270359	6	26.29489177	0.677811082	0.568085703	-1.127613486	54.02031394	34	123
114	3.076656814	8	12.38539788	6	24.6754289	0.658441142	0.596358822	-1.127613486	54.02031394	28	129
115	2.995721354	8	10.85100855	6	22.80592026	0.284319258	0.210559095	-1.127613486	54.02031394	15	142
116	3.605298778	8	12.38539788	6	27.3010527	0.306484322	0.191013815	-1.127613486	54.02031394	10	147
117	4.322998272	8	12.38539788	6	37.44535477	0.518301693	0.460098212	-1.127613486	54.02031394	2	155
118	2.759424885	8	50.37446956	13	89.12730835	2.462450527	3.381663791	62.27305061	47.50108184	778	271.67
119	5.727652361	9	50.37446956	13	57.48541818	21.17487609	330.8983026	62.27305061	47.50108184	592	444.67
120	4.177732493	9	50.37446956	13	60.76520468	3.039979823	21.92873527	62.27305061	47.50108184	493	556.67
121	3.728689139	9	50.37446956	13	51.18169312	2.55942221	3.550068955	62.27305061	47.50108184	378	671.67
122	3.791683808	9	50.37446956	13	50.32685233	3.939169291	17.97847639	62.27305061	47.50108184	289	760.67
123	3.181565548	9	50.37446956	13	45.33299196	1.561019229	9.127421455	62.27305061	47.50108184	230	819.67
124	1.635122886	9	50.37446956	13	34.96932672	1.034331659	1.760675941	62.27305061	47.50108184	127	922.67
125	4.054866773	9	50.37446956	13	13.3334777	1.213720854	1.995564718	62.27305061	47.50108184	4	1045.67
126	5.133206429	7	11.46854145	5	37.32910259	0.077702354	0.086531234	34.11350329	25.46467696	11	631.68
127	2.828906057	7	11.46854145	5	41.27646511	0.439338992	1.076453841	34.11350329	25.46467696	4	638.68
128	3.733942039	8	6.122974242	6	23.67495532	0.25081237	0.169402677	14.61789411	19.28688837	102	55
129	5.117197849	8	6.122974242	6	24.85447009	0.444550876	0.246859472	14.61789411	19.28688837	59	98
130	4.290424558	8	7.160784295	6	26.29489177	0.677811082	0.568085703	14.61789411	19.28688837	34	123
131	3.325855221	8	7.160784295	6	24.6754289	0.658441142	0.596358822	14.61789411	19.28688837	28	129
132	3.980269694	8	6.625827587	6	22.80592026	0.284319258	0.210559095	14.61789411	19.28688837	15	142
133	4.244629999	8	6.361081446	6	27.3010527	0.306484322	0.191013815	14.61789411	19.28688837	10	147
134	5.114982232	8	6.361081446	6	37.44535477	0.518301693	0.460098212	14.61789411	19.28688837	2	155
135	4.501108122	8	11.4587952	13	89.12730835	2.462450527	3.381663791	-15.34271374	-9.886583756	778	271.67
136	4.047622366	9	11.4587952	13	57.48541818	21.17487609	330.8983026	-15.34271374	-9.886583756	592	444.67
137	3.040611225	9	12.08995614	13	60.76520468	3.039979823	21.92873527	-15.34271374	-9.886583756	493	556.67
138	4.119548747	9	12.08995614	13	51.18169312	2.55942221	3.550068955	-15.34271374	-9.886583756	378	671.67
139	4.860659086	9	15.6900137	13	50.32685233	3.939169291	17.97847639	-15.34271374	-9.886583756	289	760.67
140	3.834492356	9	18.2515861	13	45.33299196	1.561019229	9.127421455	-15.34271374	-9.886583756	230	819.67
141	3.827933587	9	18.37447129	13	34.96932672	1.034331659	1.760675941	-15.34271374	-9.886583756	127	922.67
142	4.066335094	9	18.51127517	13	13.3334777	1.213720854	1.995564718	-15.34271374	-9.886583756	4	1045.67
143	5.097566346	7	47.33201775	5	37.32910259	0.077702354	0.086531234	-58.29030849	-44.43881618	11	631.68
144	4.835513012	7	47.33201775	5	41.27646511	0.439338992	1.076453841	-58.29030849	-44.43881618	4	638.68
145	5.420021041	8	24.32673852	6	23.67495532	0.25081237	0.169402677	42.11288155	10.08084681	102	55
146	5.395011899	8	24.32673852	6	24.85447009	0.444550876	0.246859472	42.11288155	10.08084681	59	98
147	4.590915918	8	24.93567392	6	26.29489177	0.677811082	0.568085703	42.11288155	10.08084681	34	123
148	5.664365492	8	24.93567392	6	24.6754289	0.658441142	0.596358822	42.11288155	10.08084681	28	129
149	6.054867383	8	23.5761872	6	22.80592026	0.284319258	0.210559095	42.11288155	10.08084681	15	142
150	3.762027104	8	23.51213116	6	27.3010527	0.306484322	0.191013815	42.11288155	10.08084681	10	147
151	3.166153523	8	23.51213116	6	37.44535477	0.518301693	0.460098212	42.11288155	10.08084681	2	155
152	7.583487105	8	96.88944427	13	89.12730835	2.462450527	3.381663791	25.74035614	19.16273547	778	271.67
153	6.777917156	9	96.88944427	13	57.48541818	21.17487609	330.8983026	25.74035614	19.16273547	592	444.67
154	7.302602687	9	93.21641195	13	60.76520468	3.039979823	21.92873527	25.74035614	19.16273547	493	556.67
155	6.24877853	9	93.21641195	13	51.18169312	2.55942221	3.550068955	25.74035614	19.16273547	378	671.67
156	6.759349629	9	87.94216879	13	50.32685233	3.939169291	17.97847639	25.74035614	19.16273547	289	760.67
157	7.382415333	9	80.33347902	13	45.33299196	1.561019229	9.127421455	25.74035614	19.16273547	230	819.67
158	6.210896468	9	71.80757901	13	34.96932672	1.034331659	1.760675941	25.74035614	19.16273547	127	922.67
159	7.390469427	9	68.3183864	13	13.3334777	1.213720854	1.995564718	25.74035614	19.16273547	4	1045.67
160	6.300692384	7	17.62265512	1	43.49371823	2.64836972	80.46803186	18.66337001	30.48095948	190.3	87.08
161	6.381770504	8	17.62265512	1	42.27172213	0.079867321	0.072130965	18.66337001	30.48095948	108.6	168.78
162	5.248328558	8	17.62265512	1	31.46461295	0.098720204	0.0540847	18.66337001	30.48095948	15.9	281.98
163	6.267639903	8	17.62265512	1	34.22176252	0.159479069	0.297853172	18.66337001	30.48095948	5	292.88
164	6.330033003	9	52.05827106	1	24.35062412	2.012679883	0.05349726	3.67453448	10.66370705	64.9	84.2
165	6.150925926	9	52.05827106	1	29.81801136	1.478379057	0.062845877	3.67453448	10.66370705	55.3	93.8
166	5.166666667	10	41.66475817	8	33.74312294	0.128274209	0.101411075	-41.11396678	16.67556248	53	142.7
167	6.240606061	10	41.66475817	8	42.98974824	0.128019607	0.145252619	-41.11396678	16.67556248	23.8	171.9
168	5.426440329	10	41.64283694	8	33.55399925	0.396281501	1.223589778	-41.11396678	16.67556248	2	193.7
169	5.714795009	11	17.54882284	9	27.11605974	0.274761669	0.161739809	-29.08445486	-15.23574119	102.4	54.6
170	6.289215686	11	17.54882284	9	27.09481587	0.700193231	0.588515405	-29.08445486	-15.23574119	29.4	127.6
171	5.6	11	21.39582814	9	33.55399925	0.396281501	0.24138022	-29.08445486	-15.23574119	1	156
172	4.495833333	11	94.6167233	15	88.60936702	2.572637259	3.381663792	94.55507119	94.50821083	778	271.67
173	7.466666667	12	94.6167233	15	58.70393464	22.11290193	330.8983026	94.55507119	94.50821083	592	457.67
174	6.3125	12	94.6167233	15	61.87496577	3.268973793	21.88070256	94.55507119	94.50821083	493	556.67
175	7.246794872	12	105.5086899	15	53.23937024	2.838127022	3.550068955	94.55507119	94.50821083	378	671.67
176	6.027777778	12	105.5086899	15	51.86756188	4.589070149	18.31681172	94.55507119	94.50821083	289	760.67
177	7.641666667	12	101.9088294	15	38.02777431	1.847926608	4.605605961	94.55507119	94.50821083	164	885.67
178	7.670833333	12	101.9088294	15	33.36432931	1.085156576	1.760675941	94.55507119	94.50821083	127	922.67
179	6.589506173	12	101.9553826	15	25.22530326	0.307113023	0.443005004	94.55507119	94.50821083	71	978.67
180	6.066666667	12	104.413931	15	33.82060715	0.523917009	0.144347173	94.55507119	94.50821083	32	1017.67
181	6.665053763	12	92.08526073	15	15.52322612	1.268210786	1.979554745	94.55507119	94.50821083	4	1045.67
182	6.093908629	9	52.05827106	1	24.35062412	2.012679883	0.05349726	74.4546466	79.27144297	64.9	84.2
183	5.010869565	9	52.05827106	1	29.81801136	1.478379057	0.062845877	74.4546466	79.27144297	55.3	93.8
184	4.765482696	10	52.56776241	8	33.74312294	0.128274209	0.101411075	38.92299759	57.58300236	53	142.7
185	4.881750466	10	52.56776241	8	42.98974824	0.128019607	0.145252619	38.92299759	57.58300236	23.8	171.9
186	4.729788557	10	50.67942874	8	33.55399925	0.396281501	1.223589778	38.92299759	57.58300236	2	193.7
187	2.04751462	11	25.0569171	9	27.11605974	0.274761669	0.161739809	52.5981684	63.02795857	102.4	54.6
188	5.406206416	11	25.0569171	9	27.09481587	0.700193231	0.588515405	52.5981684	63.02795857	29.4	127.6
189	5.475617902	11	24.90824378	9	33.55399925	0.396281501	0.24138022	52.5981684	63.02795857	1	156
190	5.760700389	11	51.09916649	16	88.60936702	2.572637259	3.381663792	69.59357719	70.66246645	778	271.67
191	5.569398907	12	51.09916649	16	58.70393464	22.11290193	330.8983026	69.59357719	70.66246645	592	457.67
192	6.194771242	12	51.09916649	16	61.87496577	3.268973793	21.88070256	69.59357719	70.66246645	493	556.67
193	5.231333333	12	51.09916649	16	53.23937024	2.838127022	3.550068955	69.59357719	70.66246645	378	671.67
194	6.206666667	12	51.09916649	16	51.86756188	4.589070149	18.31681172	69.59357719	70.66246645	289	760.67
195	5.74904943	12	51.09916649	16	38.02777431	1.847926608	4.605605961	69.59357719	70.66246645	164	885.67
196	5.299595142	12	51.09916649	16	33.36432931	1.085156576	1.760675941	69.59357719	70.66246645	127	922.67
197	4.861111111	12	51.09916649	16	25.22530326	0.307113023	0.443005004	69.59357719	70.66246645	71	978.67
198	4.481549815	12	51.09916649	16	33.82060715	0.523917009	0.144347173	69.59357719	70.66246645	32	1017.67
199	4.770042194	12	51.09916649	16	15.52322612	1.268210786	1.979554745	69.59357719	70.66246645	4	1045.67
200	6.888480392	7	17.62265512	1	43.49371823	2.64836972	80.46803186	90.27191767	88.64782758	190.3	87.08
201	7.077777778	8	17.62265512	1	42.27172213	0.079867321	0.072130965	90.27191767	88.64782758	108.6	168.78
202	7.287671233	8	17.62265512	1	31.46461295	0.098720204	0.0540847	90.27191767	88.64782758	15.9	281.98
203	5.891666667	8	17.62265512	1	34.22176252	0.159479069	0.297853172	90.27191767	88.64782758	5	292.88
204	5.616615067	10	12.74909969	8	33.74312294	0.128274209	0.101411075	41.54993747	65.29057541	53	142.7
205	5.472123369	10	12.81652164	8	42.98974824	0.128019607	0.145252619	41.54993747	65.29057541	23.8	171.9
206	5.423144876	10	12.81652164	8	33.55399925	0.396281501	1.223589778	41.54993747	65.29057541	2	193.7
207	8.124537037	11	7.867230503	9	27.11605974	0.274761669	0.161739809	52.65639263	56.13814473	102.4	54.6
208	5.654486037	11	7.867230503	9	27.09481587	0.700193231	0.588515405	52.65639263	56.13814473	29.4	127.6
209	5.722923239	11	7.833894522	9	33.55399925	0.396281501	0.24138022	52.65639263	56.13814473	1	156
210	6.671361502	11	27.34107653	16	88.60936702	2.572637259	3.381663792	27.8633676	28.31111785	778	271.67
211	6.866525424	12	28.59034624	16	58.70393464	22.11290193	330.8983026	27.8633676	28.31111785	592	457.67
212	8.623953099	12	25.22236184	16	61.87496577	3.268973793	21.88070256	27.8633676	28.31111785	493	556.67
213	7.998544396	12	23.0309598	16	53.23937024	2.838127022	3.550068955	27.8633676	28.31111785	378	671.67
214	4.897865854	12	23.0309598	16	51.86756188	4.589070149	18.31681172	27.8633676	28.31111785	289	760.67
215	6.742753623	12	26.42020318	16	38.02777431	1.847926608	4.605605961	27.8633676	28.31111785	164	885.67
216	6.594907407	12	25.54978297	16	33.36432931	1.085156576	1.760675941	27.8633676	28.31111785	127	922.67
217	7.551603905	12	24.66423885	16	25.22530326	0.307113023	0.443005004	27.8633676	28.31111785	71	978.67
218	5.626582278	12	25.17108474	16	15.52322612	1.268210786	1.979554745	27.8633676	28.31111785	4	1045.67
219	7.548874824	7	17.62265512	1	43.49371823	2.64836972	80.46803186	36.08052234	39.59002399	190.3	87.08
220	5.444444444	8	17.62265512	1	42.27172213	0.079867321	0.072130965	36.08052234	39.59002399	108.6	168.78
221	6.052676152	8	17.62265512	1	31.46461295	0.098720204	0.0540847	36.08052234	39.59002399	15.9	281.98
222	6.634459037	8	17.62265512	1	34.22176252	0.159479069	0.297853172	36.08052234	39.59002399	5	292.88
223	7.665378671	9	52.05827106	1	24.35062412	2.012679883	0.05349726	66.45083112	63.43473064	64.9	84.2
224	7.27549195	9	52.05827106	1	29.81801136	1.478379057	0.062845877	66.45083112	63.43473064	55.3	93.8
225	6.758300133	10	52.87342563	8	33.74312294	0.128274209	0.101411075	47.83203101	57.81980377	53	142.7
226	8.987012987	10	55.87782837	8	42.98974824	0.128019607	0.145252619	47.83203101	57.81980377	23.8	171.9
227	7.340033501	10	56.01074573	8	33.55399925	0.396281501	1.223589778	47.83203101	57.81980377	2	193.7
228	7.875	11	22.00004952	9	27.11605974	0.274761669	0.161739809	6.528810445	-22.93619214	102.4	54.6
229	6.609185919	11	22.00004952	9	27.09481587	0.700193231	0.588515405	6.528810445	-22.93619214	29.4	127.6
230	7.942982456	11	22.19459037	9	33.55399925	0.396281501	0.24138022	6.528810445	-22.93619214	1	156
231	6.486066452	12	72.80413712	16	58.70393464	22.11290193	330.8983026	54.16982543	47.83028783	592	457.67
232	4.471098266	12	73.21011804	16	61.87496577	3.268973793	21.88070256	54.16982543	47.83028783	493	556.67
233	5.200620767	12	73.21011804	16	53.23937024	2.838127022	3.550068955	54.16982543	47.83028783	378	671.67
234	6.629928315	12	73.21011804	16	51.86756188	4.589070149	18.31681172	54.16982543	47.83028783	289	760.67
235	5.276515152	12	70.23147376	16	38.02777431	1.847926608	4.605605961	54.16982543	47.83028783	164	885.67
236	5.839869281	12	70.23147376	16	33.36432931	1.085156576	1.760675941	54.16982543	47.83028783	127	922.67
237	4.838541667	12	68.63302165	16	25.22530326	0.307113023	0.443005004	54.16982543	47.83028783	71	978.67
238	4.335820896	12	65.60681126	16	33.82060715	0.523917009	0.144347173	54.16982543	47.83028783	32	1017.67
239	5.389212262	12	68.76827509	16	15.52322612	1.268210786	1.979554745	54.16982543	47.83028783	4	1045.67
